V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,-1.5151888862601e-06,-1.61001687112954e-06,-5.88560909826571e-06,-4.98132561577808e-06,-1.78467610414515e-06,0,-8.09971815612029e-06,-9.10659884469646e-06,-1.22100845577601e-05,-1.00901702825487e-05,0,-6.15092416810671e-06,-8.98824844348415e-06,-8.61490311539962e-06,0,-8.69785953621139e-06,-1.24549313266939e-05,0,-1.00252809868753e-05,0
0,-3.24337355295059e-06,-1.89084358589479e-06,-6.36817619870298e-06,-3.79996769032806e-07,-5.5531685586325e-06,0,-9.36889533713038e-06,-2.90265741884e-05,-4.21125812303721e-06,-2.18893713623015e-05,0,-2.21181383849495e-05,-1.12602971056391e-06,-2.12147150344684e-05,0,-9.11438541482099e-06,-7.55573338234844e-06,0,-1.04201696818107e-05,0
0,-2.64544771025202e-06,-2.02969018587876e-06,-1.45213868368912e-06,-1.50731830976005e-06,-1.60163493536389e-06,0,-3.73112490987374e-05,-2.09556130255847e-05,-1.81175873713312e-05,-2.64687740392698e-05,0,-4.69707603716061e-05,-1.83887134188928e-05,-2.47970747185546e-05,0,-6.63432858620849e-06,-8.5163456347648e-06,0,-1.00576447184642e-05,0
0,-5.95887674727546e-06,-2.18982610586334e-06,-1.60649372931042e-06,-1.5468045871929e-06,-1.56513513193541e-06,0,-1.53268024945079e-05,-8.25140939480283e-06,-7.45628489025044e-06,-1.57147189528961e-05,0,-1.93912522046689e-05,-9.42753357930382e-06,-4.69066487917643e-05,0,-2.96660636320987e-06,-1.70430421721079e-06,0,-4.6897353341856e-06,0
0,-3.25939123753626e-06,-8.35677077449944e-07,-1.22226013220636e-06,-1.86871889051517e-06,-3.06331788942139e-07,0,-6.99068114318961e-06,-4.89829920436778e-06,-7.25734658856741e-06,-5.87603035886634e-06,0,-2.84156115274403e-06,-4.84884493855699e-06,-3.67760402391449e-06,0,-1.15254760889976e-05,-3.00698829317284e-06,0,-3.58118633044659e-06,0
0,-8.87839936319635e-07,-1.90558094470603e-06,-3.21720500502116e-06,-3.34979334861578e-06,-2.74216117674622e-06,0,-1.02360464925298e-05,-1.69425656579353e-05,-1.98914431275552e-05,-2.18844969219761e-05,0,-1.17121442825372e-05,-2.22608057708619e-05,-1.2869406216061e-05,0,-1.18639694832566e-05,-1.44540442634774e-05,0,-7.15253990643625e-06,0
0,-2.08703700041655e-06,-1.1636475717462e-06,-2.47486280123671e-06,-1.40379524084199e-06,-8.59957668719597e-07,0,-4.78365073244385e-06,-3.75617363421048e-05,-5.28609810025572e-06,-9.04826618880277e-06,0,-1.87221597620353e-05,-7.56463442413231e-06,-1.98422268849698e-05,0,-4.89049238344506e-06,-1.0402167593257e-05,0,-5.37609643341278e-06,0
0,-4.79300390262559e-06,-5.57880726579423e-06,-2.31496750033057e-06,-5.54452417422918e-06,-3.24541960680936e-06,0,-1.62707473494533e-05,-6.55029013929896e-06,-8.18039096454116e-06,-9.98976649427704e-06,0,-4.08649995848596e-06,-4.90310858900024e-06,-4.85981428999731e-06,0,-1.01013064128017e-05,-1.55185855262982e-05,0,-7.24945573171087e-06,0
0,-5.43029363485353e-07,-2.2037619030246e-06,-2.19174764910775e-06,-3.90341325496028e-06,-1.33013302491896e-06,0,-8.36312758662169e-06,-6.47608937769933e-05,-1.74018030455758e-05,-1.28391029388228e-05,0,-1.11085584969797e-05,-2.23837837183485e-05,-9.19329337659522e-06,0,-7.87495149889858e-06,-8.2614922885157e-06,0,-1.05514071196612e-05,0
0,-5.08825477988793e-06,-8.58746501334846e-06,-6.49747009741963e-06,-3.77493878280594e-06,-4.45110649054312e-06,0,-1.99033470091865e-05,-1.55715872403085e-05,-1.09643481970778e-05,-1.04100745847683e-05,0,-9.34507026980311e-05,-8.19890416336012e-06,-1.09849464554154e-05,0,-1.54032817549488e-05,-1.73380365492411e-05,0,-1.09491984539795e-05,0
