V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,-3.36950533749363e-06,-6.83029071819279e-06,-6.76274762546515e-06,-3.85184227105983e-06,-3.71352625004923e-06,0,-8.83677061584201e-06,-1.30321130278721e-05,-8.81443720109639e-06,-4.11912953752896e-06,0,-1.30759753884636e-05,-1.35815518838736e-05,-6.30945955575523e-06,0,-9.72514102097058e-06,-1.67362905404558e-05,0,-7.65219927303908e-06,0
0,-2.49727256643781e-06,-7.43934496439154e-06,-4.75250455021943e-06,-3.09561664437719e-06,-1.80116550784099e-06,0,-2.55916549353876e-05,-2.48272598976756e-05,-2.32332801859003e-05,-1.10264886444951e-05,0,-1.42777003569166e-05,-4.15350351737545e-06,-1.09795872838559e-05,0,-1.48411461654616e-05,-1.04130420456798e-05,0,-1.23289113968077e-05,0
0,-1.50331582393937e-05,-3.28210777370025e-06,-1.79174808526686e-06,-2.25607723208181e-06,-9.66239172069988e-07,0,-1.44984246830206e-05,-1.32807344307448e-05,-8.11942818021649e-06,-1.76922121095183e-05,0,-1.18284722821183e-05,-1.36828896550909e-05,-1.21742991240376e-05,0,-5.9238967143579e-06,-1.42439783058794e-05,0,-1.35079658247424e-05,0
0,-5.52985827454877e-06,-1.17390590509475e-05,-1.38590933949467e-06,-2.14622148933547e-06,-1.82025528638544e-06,0,-2.35128801268465e-05,-1.7076576143363e-05,-1.31641606922284e-05,-3.58873935926208e-05,0,-6.97880538334935e-06,-6.06111351463435e-06,-1.10879132615967e-05,0,-3.93560726974307e-06,-2.5618741417136e-06,0,-3.40355461569032e-06,0
0,-2.99404436157331e-06,-3.61779547207236e-06,-3.41019410466959e-06,-2.30538642052165e-06,-4.8311981704288e-06,0,-1.23672274138187e-05,-1.6952424399504e-05,-8.04990825969628e-06,-1.62777356474231e-05,0,-3.08753883365012e-06,-6.17380788203351e-06,-5.04340548277949e-06,0,-5.21959790038995e-06,-5.61559205787143e-06,0,-1.00269394450303e-05,0
0,-4.38580770450222e-06,-3.15452400068722e-06,-3.34735423916239e-06,-2.56823398404214e-06,-2.21184530350248e-06,0,-5.06190558035293e-06,-1.07515306377956e-05,-8.11124530460937e-06,-4.17870253266448e-06,0,-1.30066982230649e-05,-6.38758923831523e-06,-2.51520608929625e-06,0,-7.50577327632652e-06,-9.06917885922935e-06,0,-3.64238961036652e-06,0
0,-2.61216890902287e-06,-4.58785789411721e-06,-3.25613946701829e-06,-2.81282195788392e-06,-1.71628134922985e-06,0,-2.19571469803212e-05,-9.19097966504216e-06,-1.19445328720132e-05,-1.01555819195525e-05,0,-8.08410992983403e-06,-5.62099510054372e-06,-3.85298464707181e-06,0,-1.75668608348567e-05,-9.50548185143852e-06,0,-3.15845033735814e-06,0
0,-1.27339412700687e-06,-2.27493627488201e-06,-2.58250002853929e-06,-3.11630671453523e-06,-2.65237148720789e-06,0,-1.93190054661167e-05,-2.38615640305797e-05,-3.26821188090085e-05,-2.64080610319808e-05,0,-2.29501896952446e-05,-2.07917535020393e-05,-8.86420934532984e-06,0,-1.58373739057267e-05,-6.34937683630024e-06,0,-2.63344418636219e-06,0
0,-5.38691240786468e-06,-1.44308178251793e-05,-4.23373210805762e-06,-3.83695467291779e-06,-5.00879736495729e-06,0,-4.78527264031803e-05,-2.45739895863718e-05,-2.33793971246627e-05,-2.18503533839324e-05,0,-2.95634482941007e-06,-1.91856318642543e-05,-1.10325568912247e-05,0,-3.85388125886313e-05,-1.43124852684131e-05,0,-1.58564717806392e-05,0
0,-5.04991773682358e-06,-4.59354070007275e-06,-7.58655692362374e-06,-2.84065799341414e-06,-1.41272894806694e-06,0,-5.79354575096708e-05,-2.49998843299646e-05,-6.531413151226e-05,-5.06243819029719e-05,0,-4.14945620732647e-05,-3.38373631281694e-05,-5.24211590511354e-05,0,-8.02548502049206e-05,-7.25847867133919e-05,0,-1.38393626766388e-05,0
