V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.91689753198389e-05,8.34877734275083e-05,0,0,3.91252615183462e-05,3.29653645086758e-05,0.000563978455028914,0,0,0.000130124703270537,0.000125784585538225,0,0,0,0,0,0,0,0.000140288133778244,5.88269229218987e-05,0.000142311740270485
4.64608033462411e-05,0.00011852896401592,0.000139918336806039,0,9.13497356078952e-05,7.47504512258859e-05,0.0011017854862016,0.000559321971679571,0,0.000474251087831484,0.000314887113285379,0.000760792400177703,0,0.000395805966287907,0.000285418385747682,0,0,0,0.000397581828870119,0.000205206959155436,0.000267610830113106
0,0,0,0,0,0,0,0,0,0,0,0.000671484494411416,0,0,0,0,0,0,0,0,0
2.07502454275431e-05,6.02217153488477e-05,4.48708180451268e-05,3.4509830684111e-05,0,2.56720759409478e-05,0.000459629614921302,0.000220701679907421,0.000135487158436116,0,8.63670831325545e-05,0.000238910462971517,0.000136374050619919,0,9.12874400073476e-05,0.000169656405235285,0,7.08231324037783e-05,0,0,9.71636153407718e-05
2.15155661647559e-05,4.8379048243228e-05,3.48882299332164e-05,2.94346247813532e-05,3.20645019961117e-05,3.42296172083719e-05,0.000253454858495458,0.00013929966340156,8.98346459510662e-05,8.84207549212783e-05,7.89492875668978e-05,0.000180843638282726,4.99482260958806e-05,5.65077570778027e-05,7.06338680813042e-05,0.000160915175594968,6.98023304452837e-05,4.78417201890139e-05,0.000155043458779171,6.70305358299751e-05,0.000138912386691401
2.17677479269387e-05,4.97194643423634e-05,4.70469456927389e-05,4.60226766460908e-05,2.77450613084324e-05,3.31444463850847e-05,0.000401946343528686,0.000234156849439742,0.00014103487074474,0.000106583384340573,0.000115324236793416,0.000355999467917313,0.000181949199145098,0.000118198726497375,0.00014891588332511,0.000301775827530164,9.52648766118798e-05,0.000113643202864799,0.000122627016063776,8.73785408467417e-05,0.000169775337746386
3.52629686591082e-05,0,8.96397384690463e-05,7.51541219794216e-05,5.82973312738316e-05,0,0,0,0,0,0,0.000482385782665282,0.000240818332863478,0.000218950160831595,0,0.000330821957348817,0.000159914726767033,0,0.000263480208514035,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209252899367945
2.85640147112886e-05,0,0,0,0,7.17949250805216e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451787446700192
2.81387958807359e-05,8.76872756196798e-05,7.54100632213406e-05,8.63903295844339e-05,5.3577152167862e-05,4.64990149212255e-05,0.000524326533309826,0.000349039137818239,0.000354781380529777,0.000255355029473986,0.000199500873712021,0.000603306592068331,0.000393798041321776,0.000170359913124913,0.000165716335942657,0.000713369174962107,0.000236139172945183,0.000129557006358073,0.000397982449808278,0.000184180510525155,0.000214459431691949
1.96849372318731e-05,7.97965836775055e-05,4.38080999875133e-05,6.38001667942011e-05,3.29564467737539e-05,0,0.000789150387502658,0.000315510032909147,0.000337315847063725,0.000107886189029724,0,0.000410368867082062,0.000209980269822098,0.000159086177732856,0,0.000493462746018456,0.000116208927394544,0,0.000197939206607041,0,0
1.8074838785022e-05,4.19184900631091e-05,4.23988633488042e-05,2.47039288036495e-05,2.55025270045212e-05,1.8686618895741e-05,0.000476902744142386,0.000340063537869028,0.000101512902418339,0.000148918278979718,0.000124151345402648,0.000535863381221936,7.75913753711019e-05,0.000114062439562093,0.000121305868408292,0.00018245268747189,6.33699900082197e-05,4.07866648711327e-05,0.00013588512106898,4.26339608758578e-05,8.2329889918253e-05
0,0,0,0,0,0,0.000707298813072831,0.00034013413778617,0,0.000239557634010254,0.000201653017534357,0.000365645798125216,0,0.000155409792193242,0.000148460395718524,0,0,0,0.000142598076446567,9.88884609165762e-05,0.000190444969540384
0,0,0,0,0,0,0.000434450364264553,0.000160779893941581,0.00017970771960578,0.000139349255518312,0,0.000250330296009328,9.37564558850075e-05,0.000123278578231413,0,0.000184834648365346,9.84021975315269e-05,0,0.000159478840345168,0,0
4.49982043595708e-05,8.49622105917074e-05,5.44935147772768e-05,0,0,0,0.000420943608493655,0.00012422083658499,0,0,0,0.000250474478198104,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.000405068376319895,0.000287863261871562,0,0,0.000385331708220821,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.000309666249945847,0.000238983218733785,0,0.00018950756751438,0.00035310330658449,0,0.00016654994242676,0,0,0.000218201545955501
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.00019759263509185,0.000146909136603158,0.000170980558656953,0.000115521869113611,0,0.000209491662963929,0.000166807102066163,0.000122577824825547,0,0.000324788691477315,0.000126841414399301,0,0.000141487053491965,0,0
2.18821204059662e-05,4.98062075316788e-05,5.03348863760265e-05,5.26276378730589e-05,3.1205166822648e-05,2.77174208472931e-05,0.000283369057537806,0.000153215400446252,0.000153075258992842,0.000106017225958142,8.80896908512576e-05,0.000230552663750967,0.00011219269445936,8.06454066652598e-05,0.000121046453855004,0.000315844761773842,7.1726816656737e-05,7.97950537475012e-05,0.000142062877383691,1.70610531475525e-05,0.000150847771894841
1.95364248205275e-05,4.02236327367313e-05,4.55335407163827e-05,4.97336161080175e-05,3.90489990551315e-05,2.60805539786641e-05,0.000256602284473178,0.00017751812254285,0.000149340862834547,0.000123965994323811,8.04963581128023e-05,0.000295271966717302,0.000163039971421289,0.000163064958039195,9.39271930097012e-05,0.000292088469742653,0.000144055924310412,8.02144528608716e-05,0.000171043046939925,7.09051763717176e-05,8.49832011651665e-05
1.3543025244628e-05,5.37761877120399e-05,3.88644849948093e-05,1.86054636219678e-05,1.89508947208773e-05,9.37157757347837e-06,0.000547045594870168,0.00018813174570752,0.000163670070432415,9.46599570261374e-05,0.00010758983012217,0.000212484762516356,8.57026670548057e-05,7.9250514434833e-05,4.671116087255e-05,0.000182613498395335,7.43220965018312e-05,5.71038404622592e-05,0.000122091293927878,4.97116403029784e-05,8.43732619214849e-05
0,0,0,0,0,0,0.000179729063668889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16365004799951e-05,0,0,0,0,1.8036601151464e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33861072727548e-05
2.30990339419599e-05,3.50488311956256e-05,4.1567264015969e-05,2.72145016207671e-05,2.34091536263018e-05,2.52944375075969e-05,0.000250344379124659,0.00013012817171384,7.10986018571415e-05,5.46260433170466e-05,6.3334597053014e-05,0.000203269085466077,4.6931752795084e-05,6.26607275959688e-05,6.01813182765305e-05,0.000138120074841132,3.7542943335712e-05,3.21121455234848e-05,5.39385074586478e-05,4.19013844067794e-05,8.89612888256118e-05
3.15244460093563e-05,7.64825784066733e-05,0,0,0,0,0.000535918946948169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
