V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,0,0,0,0,0,0.000425643994069283,0.000335149808129372,0.000188900435781731,0.000190108393549886,0.000185646835656367,0.000530389774721157,0.000229158150786721,0.000240462357464599,0.000219676198370802,0.000242561574028539,0.000146970252479207,9.26875094142367e-05,0.000226476683209297,0.000129517191792876,0.000180296048427883
2.91689753198389e-05,8.34877734275083e-05,5.7938630142106e-05,3.22128995955694e-05,3.91252615183462e-05,3.29653645086758e-05,0.000563978455028914,0.00023466557366456,0.000118877517847649,0.000130124703270537,0.000125784585538225,0.000312542633052189,0.000119598153208449,0.000139849607607135,8.69735581871565e-05,0.000176849741068692,5.06543016772834e-05,6.85337008203197e-05,0.000140288133778244,5.88269229218987e-05,0.000142311740270485
4.64608033462411e-05,0.00011852896401592,0.000139918336806039,8.56739970557673e-05,9.13497356078952e-05,7.47504512258859e-05,0.0011017854862016,0.000559321971679571,0.000348396892151065,0.000474251087831484,0.000314887113285379,0.000760792400177703,0.00029305293840071,0.000395805966287907,0.000285418385747682,0.000373776186502821,0.000241754796093078,0.000168495594140099,0.000397581828870119,0.000205206959155436,0.000267610830113106
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171206930304572
0,0,0,0,0,0,0.000459629614921302,0.000220701679907421,0.000135487158436116,0,8.63670831325545e-05,0.000238910462971517,0.000136374050619919,0,9.12874400073476e-05,0.000169656405235285,0,7.08231324037783e-05,0,0,9.71636153407718e-05
0,0,0,0,0,0,0.000253454858495458,0.00013929966340156,8.98346459510662e-05,8.84207549212783e-05,0,0.000180843638282726,4.99482260958806e-05,5.65077570778027e-05,0,0.000160915175594968,6.98023304452837e-05,0,0.000155043458779171,0,0
2.17677479269387e-05,4.97194643423634e-05,4.70469456927389e-05,4.60226766460908e-05,2.77450613084324e-05,3.31444463850847e-05,0.000401946343528686,0.000234156849439742,0.00014103487074474,0.000106583384340573,0.000115324236793416,0.000355999467917313,0.000181949199145098,0.000118198726497375,0.00014891588332511,0.000301775827530164,9.52648766118798e-05,0.000113643202864799,0.000122627016063776,8.73785408467417e-05,0.000169775337746386
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330821957348817,0,0,0,0,0
3.70975912131321e-05,0.000100293116226082,8.49212394877828e-05,6.65235935206359e-05,5.95171917938671e-05,4.76338847971196e-05,0.000654694285644446,0.000303731958113242,0.000187978269650462,0.000262875510380804,0.000182507094598202,0.000572741090216356,0.000290937179019973,0.000206233085935192,0.000197552333791758,0.000307329822458358,0.000137446217751362,0.00014898386571229,0.000301963815515464,0.000138719821285444,0.000209252899367945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046703855873775,0,0
2.81387958807359e-05,8.76872756196798e-05,7.54100632213406e-05,8.63903295844339e-05,5.3577152167862e-05,4.64990149212255e-05,0.000524326533309826,0.000349039137818239,0.000354781380529777,0.000255355029473986,0.000199500873712021,0.000603306592068331,0.000393798041321776,0.000170359913124913,0.000165716335942657,0.000713369174962107,0.000236139172945183,0.000129557006358073,0.000397982449808278,0.000184180510525155,0.000214459431691949
1.96849372318731e-05,0,0,6.38001667942011e-05,3.29564467737539e-05,0,0,0,0,0,0,0,0,0,0,0.000493462746018456,0.000116208927394544,0,0.000197939206607041,0,0
