V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0,-4.88469422375373e-06,-8.44030758932233e-06,-1.26483567237309e-05,-8.83316788683791e-06,-5.49820235419438e-06,0,-1.69364887719623e-05,-2.21387118725685e-05,-2.10245217588565e-05,-1.42092998200777e-05,0,-1.92268995565703e-05,-2.25698003273577e-05,-1.49243626711549e-05,0,-1.8423000557182e-05,-2.91912218671497e-05,0,-1.76774802599144e-05,0
0,-5.7406461193884e-06,-9.33018855028633e-06,-1.11206807489224e-05,-3.47561341341e-06,-7.35433406647349e-06,0,-3.4960550272518e-05,-5.38538340860757e-05,-2.74445383089375e-05,-3.29158600067966e-05,0,-3.63958387418661e-05,-5.27953322793936e-06,-3.21943023183243e-05,0,-2.39555315802826e-05,-1.79687754280283e-05,0,-2.27490810786184e-05,0
0,-1.76786059496457e-05,-5.31179795957901e-06,-3.24388676895598e-06,-3.76339554184186e-06,-2.56787410743388e-06,0,-5.18096737817581e-05,-3.42363474563295e-05,-2.62370155515477e-05,-4.4160986148788e-05,0,-5.87992326537245e-05,-3.20716030739837e-05,-3.69713738425922e-05,0,-1.25582253005664e-05,-2.27603239406442e-05,0,-2.35656105432066e-05,0
0,-1.14887350218242e-05,-1.39288851568109e-05,-2.99240306880509e-06,-3.69302607652838e-06,-3.38539041832085e-06,0,-3.88396826213545e-05,-2.53279855381658e-05,-2.06204455824788e-05,-5.16021125455169e-05,0,-2.63700575880182e-05,-1.54886470939382e-05,-5.7994562053361e-05,0,-6.90221363295293e-06,-4.26617835892438e-06,0,-8.09328994987592e-06,0
0,-6.25343559910958e-06,-4.4534725495223e-06,-4.63245423687595e-06,-4.17410531103682e-06,-5.13752995937094e-06,0,-1.93579085570083e-05,-2.18507236038717e-05,-1.53072548482637e-05,-2.21537660062895e-05,0,-5.92909998639415e-06,-1.10226528205905e-05,-8.72100950669397e-06,0,-1.67450739893876e-05,-8.62258035104427e-06,0,-1.36081257754768e-05,0
0,-5.27364764082185e-06,-5.06010494539325e-06,-6.56455924418355e-06,-5.91802733265791e-06,-4.9540064802487e-06,0,-1.52979520728827e-05,-2.76940962957309e-05,-2.80026884321645e-05,-2.60631994546406e-05,0,-2.47188425056022e-05,-2.86483950091772e-05,-1.53846123053572e-05,0,-1.93697427595831e-05,-2.35232231227068e-05,0,-1.07949295168028e-05,0
0,-4.69920590943943e-06,-5.7515054658634e-06,-5.73100226825499e-06,-4.21661719872591e-06,-2.57623901794945e-06,0,-2.67407977127651e-05,-4.6752716007147e-05,-1.7230630972269e-05,-1.92038481083552e-05,0,-2.68062696918693e-05,-1.3185629524676e-05,-2.36952115320416e-05,0,-2.24573532183017e-05,-1.99076494446955e-05,0,-8.53454677077092e-06,0
0,-6.06639802963246e-06,-7.85374354067624e-06,-4.89746752886987e-06,-8.66083088876441e-06,-5.89779109401725e-06,0,-3.55897528155701e-05,-3.04118541698786e-05,-4.08625097735496e-05,-3.63978275262578e-05,0,-2.70366896537306e-05,-2.56948620910396e-05,-1.37240236353272e-05,0,-2.59386803185284e-05,-2.18679623625984e-05,0,-9.88289991807307e-06,0
0,-5.92994177135004e-06,-1.66345797282039e-05,-6.42547975716537e-06,-7.74036792787807e-06,-6.33893038987625e-06,0,-5.6215853989802e-05,-8.93348833633651e-05,-4.07812001702384e-05,-3.46894563227552e-05,0,-1.40649033263898e-05,-4.15694155826028e-05,-2.02258502678199e-05,0,-4.64137640875299e-05,-2.25739775569288e-05,0,-2.64078789003004e-05,0
0,-1.01381725167115e-05,-1.31810057134212e-05,-1.40840270210434e-05,-6.61559677622009e-06,-5.86383543861006e-06,0,-7.78388045188573e-05,-4.05714715702731e-05,-7.62784797093378e-05,-6.10344564877402e-05,0,-0.000134945264771296,-4.20362672915295e-05,-6.34061055065508e-05,0,-9.56581319598694e-05,-8.9922823262633e-05,0,-2.47885611306183e-05,0
0,-1.86671379183288e-06,-7.15000451170882e-06,-1.17545180032393e-05,-8.85715369924681e-06,-4.65567566600212e-06,0,-3.77077282524466e-05,-6.73268909178986e-05,-2.53708530113996e-05,-8.77769508282684e-06,0,-5.7712807440631e-05,-0.000100837132723529,-5.40714440753342e-05,0,-9.25835099838227e-05,-7.92146191920941e-05,0,-1.6401057727206e-05,0
0,-6.54131859970474e-06,-8.45207246709903e-06,-5.96943436915135e-06,-7.84113438421035e-06,-5.78822241259724e-06,0,-5.04529102995584e-05,-6.37914392402733e-05,-9.50332435573607e-05,-3.58463422789463e-05,0,-3.77899338608618e-05,-2.00786093831444e-05,-1.71451730543923e-05,0,-7.25584805290928e-05,-2.35556332397654e-05,0,-1.81143022580242e-05,0
0,-5.62485357100996e-06,-5.8569501163364e-06,-5.95794352180925e-06,-5.49255120932576e-06,-2.72227561488354e-06,0,-1.6472443638712e-05,-4.95047192658536e-05,-1.23754926822355e-05,-1.56701074949406e-05,0,-5.08896181043242e-05,-2.12804174317027e-05,-1.67220612719376e-05,0,-2.33693407886895e-05,-2.04750507032699e-05,0,-1.14411967841927e-05,0
0,-6.4077482072088e-06,-5.00143644602739e-06,-2.49475639015843e-06,-2.86433123056715e-06,-6.93040836651662e-06,0,-1.72341925071958e-05,-2.28424595038439e-05,-1.21151581072624e-05,-2.96097559562124e-05,0,-1.15478016295844e-05,-7.79252975943839e-06,-2.19563096873601e-05,0,-8.23541130221913e-06,-2.10226422711401e-05,0,-1.0150086200457e-05,0
0,-4.5796467775171e-06,-5.45942962349583e-06,-3.94060327301667e-06,-4.55347070869347e-06,-3.23393670995674e-06,0,-3.81121610239974e-05,-1.14932105670286e-05,-3.39813921591608e-05,-3.78413010056338e-05,0,-2.26251579453998e-05,-1.42937694129051e-05,-1.18455982815746e-05,0,-1.41933464066632e-05,-1.73717751761893e-05,0,-6.13723917410781e-06,0
0,-1.10229065144302e-05,-1.48572308179912e-05,-1.68057724176983e-05,-5.08947141164003e-06,-3.63304170330043e-06,0,-5.61368603433918e-05,-4.52733615146475e-05,-1.54924627102933e-05,-1.08358376969702e-05,0,-2.12277387961932e-05,-1.97534553557275e-05,-1.6067409926387e-05,0,-2.80765735431127e-05,-1.92223171951687e-05,0,-5.0402289403469e-06,0
0,-5.75470536003441e-06,-1.25765035544958e-05,-1.80228034765021e-05,-3.82557997661597e-06,-7.63453433594129e-06,0,-1.14096275054786e-05,-2.21578112211591e-05,-1.03050655327567e-05,-1.4030762589165e-05,0,-1.78111641492351e-05,-1.62951148964594e-05,-4.129132913805e-05,0,-2.68264395624779e-05,-4.54202393017633e-05,0,-1.67616906386067e-05,0
0,-4.24329377446007e-06,-4.44818693549696e-06,-5.05983982397264e-06,-2.78698484323059e-06,-3.86590619660625e-06,0,-1.6120728372638e-05,-1.50495061407657e-05,-7.65862735053147e-06,-9.96363785003377e-06,0,-1.28871337686709e-05,-1.47626119066851e-05,-1.2507656456601e-05,0,-1.28337481524742e-05,-2.40301364108539e-05,0,-1.39026049875601e-05,0
0,-3.00318725908673e-06,-4.19780887033468e-06,-5.73375616154372e-06,-1.1397197884905e-06,-1.29437970825205e-06,0,-1.00069081553716e-05,-1.56246475630578e-05,-2.71781572260854e-06,-6.27238761102513e-06,0,-8.10823472336043e-06,-5.9769329119946e-06,-5.86336933991579e-06,0,-9.95282590212843e-06,-9.30807162041126e-06,0,-1.81159842543385e-06,0
0,-1.45085369834508e-06,-2.11704693444944e-06,-6.34608292679845e-06,-4.44969285378487e-06,-4.82469917927493e-06,0,-3.36329173319264e-06,-1.7653529470908e-05,-5.41157742636107e-06,-6.55724300972255e-06,0,-1.2124946795776e-05,-5.36003849471766e-06,-1.19504534182434e-05,0,-1.18430748290734e-05,-1.81568510121082e-05,0,-3.94575536521836e-06,0
