V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
3.77757540941632e-05,8.41452406542415e-05,7.8821526678827e-05,4.67435150702192e-05,5.0877959361991e-05,4.66735068559788e-05,0.000425643994069283,0.000335149808129372,0.000188900435781731,0.000190108393549886,0.000185646835656367,0.000530389774721157,0.000229158150786721,0.000240462357464599,0.000219676198370802,0.000242561574028539,0.000146970252479207,9.26875094142367e-05,0.000226476683209297,0.000129517191792876,0.000180296048427883
0,0,0,0,0,0,0,0,0,0,0,0.000312542633052189,0.000119598153208449,0,0,0.000176849741068692,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000373776186502821,0,0,0,0,0
3.1217869236882e-05,7.66254200920415e-05,0,5.32390833528865e-05,5.69447998737396e-05,5.0408507163963e-05,0.000560902234775863,0,0.000172910941564863,0.000136698426757749,0.000129600251280922,0,0,0,0,0.000178397309935639,0.000137231570705069,0.000114156049497494,0.000206264213220571,9.19097785495064e-05,0.000171206930304572
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159616589147322,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000645026116328734,0,0,0,0.000221747051685893,0,0,0,0,0,0,0,0,0,0.000244623296377004
3.70975912131321e-05,0.000100293116226082,8.49212394877828e-05,6.65235935206359e-05,5.95171917938671e-05,0,0.000654694285644446,0.000303731958113242,0.000187978269650462,0.000262875510380804,0,0.000572741090216356,0.000290937179019973,0.000206233085935192,0,0.000307329822458358,0.000137446217751362,0,0.000301963815515464,0,0
0,0,0,0,0,0,0.000897099733952259,0.000432633450108108,0.000802911999536362,0.000245932886180892,0,0.000857344142537637,0.000364691596319485,0.000427399975301797,0,0.00119993727829242,0.000254016898305357,0,0.00046703855873775,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167164327047091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.97304321115221e-05,0,0,4.88643879114577e-05,0,0,0,0,0,0,0,0,0,0,0,0.000232696655116968,0,0,0,0,0
2.09077317276192e-05,0,0,0,0,2.56427043516408e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93228586968333e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273531857951167,0.000102723236138347,8.56224733533985e-05,0.000170332465722007,0.000105823514723297,0.000116058282660164
4.15631728956148e-05,7.27219388875758e-05,0,0,7.02445715668069e-05,6.53243374339746e-05,0.000279711509220293,0,0,0.000170008992825613,0.0001652900390941,0,0,0,0,0,0,0,0.000236246519033289,0.000151102223046817,0.000262683808223578
3.48698796886117e-05,7.81940914154585e-05,0,0,4.95018192309129e-05,0,0.000335198987512067,0,0,0.000153941946759962,0,0,0,0,0,0,0,0,0.000155836946809468,0,0
3.05856975495987e-05,5.6150109464028e-05,3.39907736896557e-05,3.4776371517969e-05,5.46191221275598e-05,3.67164814733379e-05,0.000232910136661439,0.000114081272133201,9.84468560904905e-05,0.000138080486257284,9.34461690660973e-05,0.000132478986523135,7.86917435272696e-05,9.99396004823843e-05,5.65944364872348e-05,0.000120836103739912,8.27333689837032e-05,5.56687987579158e-05,0.00014984954275834,8.13083964617079e-05,9.45288635174361e-05
4.54025579545821e-05,0,0,0,0,4.51650665365855e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106761476557565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44210951193716e-05,0,3.05068112721898e-05,1.91425625325152e-05,2.32406369629857e-05,1.35948810760534e-05,0,0,0,0,0,0.000127563264940765,4.7753401282218e-05,6.63653927549636e-05,3.9896724221556e-05,7.38935603008705e-05,3.28657945635762e-05,2.38288685991513e-05,0.000150747693641188,4.5306035896779e-05,4.26710801682949e-05
0,0,0,0,0,0,0.000160492348952045,7.9209918327748e-05,7.05013702708401e-05,5.90079388890329e-05,0,0.000112939804792631,6.3700170739055e-05,6.54685481605436e-05,0,0.000131205760256926,4.90115431428829e-05,0,9.30735833850859e-05,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.000316371601146846,0.00015430072913268,0.000156958636561647,0.00013366252307031,0.000245216221614844,0.000135062156001823,8.91642845055074e-05,0.000159480122590086,0.000113939218535261,0.000160337370204607
2.48932663174594e-05,3.99914195660197e-05,4.0960257747728e-05,2.62145898253725e-05,3.14673998360513e-05,3.32987913686198e-05,0.000209716058587054,0.00012448673420499,6.90257805342212e-05,9.10244777957359e-05,6.44557351267291e-05,0.000170730990880758,8.90421272122313e-05,9.64422772145043e-05,0.000100604837929217,0.000129709019112264,6.59637358276946e-05,5.60255400002705e-05,9.65050621728052e-05,7.04764129679762e-05,0.000133624969351061
0,0,0,0,0,0,0,0,0,0,0,0.000143342904018077,0,0,0,0,0,0,0,0,0
3.39571334767639e-05,6.73991907004242e-05,7.95856703913135e-05,5.78168423842426e-05,5.60827664718173e-05,5.19822567508901e-05,0.000396811686178697,0.000263121573517442,0.000214882494066329,0.000139445918994417,0.000173197139726859,0.000579178570104996,0.000221881776670535,0.00022496348412849,0.000171834903506701,0.000224894489207015,0.000133872696006805,0.000134066997682407,0.000172693172458884,0.000103899974503726,0.000158537070337933
