V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
3.77757540941632e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1217869236882e-05,7.66254200920415e-05,9.60440770377252e-05,5.32390833528865e-05,5.69447998737396e-05,0,0.000560902234775863,0.000356471072932344,0.000172910941564863,0.000136698426757749,0,0.000671484494411416,0.000213196905212511,0.000273714404787883,0,0.000178397309935639,0.000137231570705069,0,0.000206264213220571,0,0
2.07502454275431e-05,0,0,0,3.66246980491709e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159616589147322,0,0
2.15155661647559e-05,0,0,0,0,3.42296172083719e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138912386691401
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.52629686591082e-05,0.00010612306635015,8.96397384690463e-05,0,5.82973312738316e-05,6.39448655532053e-05,0.000645026116328734,0.000374003214734058,0,0.000189783539663777,0.000221747051685893,0.000482385782665282,0,0.000218950160831595,0.000248922521166271,0,0,0,0.000263480208514035,0.000192606466323062,0.000244623296377004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.85640147112886e-05,8.23724074354166e-05,7.88446998969016e-05,6.72679906766931e-05,0,7.17949250805216e-05,0.000897099733952259,0.000432633450108108,0.000802911999536362,0,0.000228864834786862,0.000857344142537637,0.000364691596319485,0,0.000360469442685679,0.00119993727829242,0,0.000178865670544501,0,0,0.000451787446700192
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000789150387502658,0.000315510032909147,0,0,0.000202966398695603,0.000410368867082062,0,0,0.000160009099007083,0,0,0,0,0,0.000167164327047091
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232696655116968,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116058282660164
4.15631728956148e-05,7.27219388875758e-05,7.69551591310073e-05,5.59688235260528e-05,7.02445715668069e-05,6.53243374339746e-05,0.000279711509220293,0.000193376478034111,0.000173561097723945,0.000170008992825613,0.0001652900390941,0.000405068376319895,0.000287863261871562,0.000192503832108756,0.000157821570427753,0.000385331708220821,0.000169707032497742,0.000134771704469017,0.000236246519033289,0.000151102223046817,0.000262683808223578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155836946809468,0,0
0,0,0,0,0,0,0.000232910136661439,0.000114081272133201,9.84468560904905e-05,0,0,0.000132478986523135,7.86917435272696e-05,0,0,0.000120836103739912,0,0,0,0,0
4.54025579545821e-05,7.81200184933102e-05,0,0,5.14495653855085e-05,4.51650665365855e-05,0.00019759263509185,0,0,0.000115521869113611,0.000101257449638192,0,0,0,0,0,0,0,0.000141487053491965,9.17734972389581e-05,0.000106761476557565
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142062877383691,0,0
1.95364248205275e-05,0,0,4.97336161080175e-05,3.90489990551315e-05,2.60805539786641e-05,0,0,0,0,0,0,0,0,0,0.000292088469742653,0.000144055924310412,8.02144528608716e-05,0.000171043046939925,7.09051763717176e-05,8.49832011651665e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122091293927878,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150747693641188,4.5306035896779e-05,4.26710801682949e-05
0,0,0,0,0,0,0.000160492348952045,7.9209918327748e-05,7.05013702708401e-05,0,0,0.000112939804792631,6.3700170739055e-05,0,0,0.000131205760256926,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138120074841132,0,0,0,0,0
3.15244460093563e-05,7.64825784066733e-05,6.97802132049699e-05,5.83772965754538e-05,5.46542322443567e-05,4.22527514538562e-05,0.000535918946948169,0.000297318206111845,0.000176019641082861,0.000162336379312085,0.000146184964303002,0.000316371601146846,0.00015430072913268,0.000156958636561647,0.00013366252307031,0.000245216221614844,0.000135062156001823,8.91642845055074e-05,0.000159480122590086,0.000113939218535261,0.000160337370204607
0,0,0,0,0,0,0,0,0,0,0,0.000170730990880758,8.90421272122313e-05,0,0,0.000129709019112264,0,0,0,0,0
0,0,0,0,0,0,0.000161432751310498,9.97513527948797e-05,6.21659392265754e-05,0,5.34568548787569e-05,0.000143342904018077,5.47097532741254e-05,0,5.96710352686908e-05,9.2472183842158e-05,0,3.80204855384066e-05,0,0,7.63593180202942e-05
0,0,0,0,0,0,0.000396811686178697,0.000263121573517442,0.000214882494066329,0.000139445918994417,0,0.000579178570104996,0.000221881776670535,0.00022496348412849,0,0.000224894489207015,0.000133872696006805,0,0.000172693172458884,0,0
5.49289190885228e-05,0.000100158436683392,9.22764585090288e-05,7.04643960800613e-05,5.90257762565916e-05,4.52590251032191e-05,0.000513525467203439,0.000270007783672522,0.000189324306728809,0.000150901709401359,8.39233446217796e-05,0.000319585373866501,0.000176530189779627,0.000176624676932451,0.000105343091799989,0.00025515143227919,0.000138195800337115,6.06757889869861e-05,0.000197764714783597,6.78031065988283e-05,0.000116274147371787
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06499696473713e-05,0,0,0,1.45056558440923e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26185503938407e-05,0,0
2.66450091502098e-05,0,0,0,3.61774963603769e-05,3.51434022338936e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000113735152466425,5.60304628821538e-05,0.00016053484876576
